,zipcode,agi_stub
103625,10915,4
103626,10915,5
103627,10915,6
103628,10916,1
103629,10916,2
103630,10916,3
103631,10916,4
103632,10916,5
103633,10916,6
103634,10917,1
103635,10917,2
103636,10917,3
103637,10917,4
103638,10917,5
103639,10917,6
103640,10918,1
103641,10918,2
103642,10918,3
103643,10918,4
103644,10918,5
103645,10918,6
103646,10919,1
103647,10919,2
103648,10919,3
103649,10919,4
103650,10919,5
103651,10919,6
103652,10920,1
103653,10920,2
103654,10920,3
103655,10920,4
103656,10920,5
103657,10920,6
103658,10921,1
103659,10921,2
103660,10921,3
103661,10921,4
103662,10921,5
103663,10921,6
103664,10922,1
103665,10922,2
103666,10922,3
103667,10922,4
103668,10922,5
103669,10922,6
103670,10923,1
103671,10923,2
103672,10923,3
103673,10923,4
103674,10923,5
103675,10923,6
103676,10924,1
103677,10924,2
103678,10924,3
103679,10924,4
103680,10924,5
103681,10924,6
103682,10925,1
103683,10925,2
103684,10925,3
103685,10925,4
103686,10925,5
103687,10925,6
103688,10926,1
103689,10926,2
103690,10926,3
103691,10926,4
103692,10926,5
103693,10926,6
103694,10927,1
103695,10927,2
103696,10927,3
103697,10927,4
103698,10927,5
103699,10927,6
103700,10928,1
103701,10928,2
103702,10928,3
103703,10928,4
103704,10928,5
103705,10928,6
103706,10930,1
103707,10930,2
103708,10930,3
103709,10930,4
103710,10930,5
103711,10930,6
103712,10931,1
103713,10931,2
103714,10931,3
103715,10931,4
103716,10931,5
103717,10931,6
103718,10932,1
103719,10932,2
103720,10932,3
103721,10932,4
103722,10932,5
103723,10932,6
103724,10933,1
103725,10933,2
103726,10933,3
103727,10933,4
103728,10933,5
103729,10933,6
103730,10940,1
103731,10940,2
103732,10940,3
103733,10940,4
103734,10940,5
103735,10940,6
103736,10941,1
103737,10941,2
103738,10941,3
103739,10941,4
103740,10941,5
103741,10941,6
103742,10950,1
103743,10950,2
103744,10950,3
103745,10950,4
103746,10950,5
103747,10950,6
103748,10952,1
103749,10952,2
103750,10952,3
103751,10952,4
103752,10952,5
103753,10952,6
103754,10953,1
103755,10953,2
103756,10953,3
103757,10953,4
103758,10953,5
103759,10953,6
103760,10954,1
103761,10954,2
103762,10954,3
103763,10954,4
103764,10954,5
103765,10954,6
103766,10956,1
103767,10956,2
103768,10956,3
103769,10956,4
103770,10956,5
103771,10956,6
